Category,Item,Serving Size,Calories,Calories from Fat,Total Fat,Total Fat (% Daily Value),Saturated Fat,Saturated Fat (% Daily Value),Trans Fat,Cholesterol,Cholesterol (% Daily Value),Sodium,Sodium (% Daily Value),Carbohydrates,Carbohydrates (% Daily Value),Dietary Fiber,Dietary Fiber (% Daily Value),Sugars,Protein,Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value),,
Coffee & Tea,Nonfat French Vanilla Latte (Medium),16 fl oz cup,24,,,,,,,5,2,14,6,49,16,1,4,46,12,15,8,4,2,,
Coffee & Tea,Nonfat French Vanilla Latte (Large),20 fl oz cup,3,,1,1,,,,1,3,18,8,6,2,1,6,56,16,15,8,5,2,,
Coffee & Tea,Nonfat Latte with Sugar Free French Vanilla Syrup (Small),12 fl oz cup,14,,,,,,,5,2,15,6,24,8,1,4,13,1,1,8,3,6,,
Coffee & Tea,Nonfat Latte with Sugar Free French Vanilla Syrup (Medium),16 fl oz cup,17,,,,,,,5,2,18,8,3,1,1,5,16,12,15,8,4,6,,
Coffee & Tea,Nonfat Latte with Sugar Free French Vanilla Syrup (Large),20 fl oz cup,22,,1,1,,,,1,3,24,1,38,13,2,7,21,16,15,8,5,2,,
Coffee & Tea,Mocha (Small),12 fl oz cup,34,1,11,18,7,34,,35,12,15,6,49,16,2,6,42,1,1,8,3,6,,
Coffee & Tea,Mocha (Medium),16 fl oz cup,41,12,14,21,8,4,,4,14,19,8,6,2,2,8,53,13,1,8,4,6,,
Coffee & Tea,Mocha (Large),20 fl oz cup,5,15,17,26,1,49,1,5,17,24,1,72,24,2,1,63,16,15,8,5,8,,
Coffee & Tea,Mocha with Nonfat Milk (Small),12 fl oz cup,27,3,4,5,2,11,,15,5,15,6,49,16,2,6,43,11,1,8,35,6,,
Coffee & Tea,Mocha with Nonfat Milk (Medium),16 fl oz cup,33,3,4,6,2,11,,15,5,19,8,6,2,2,8,53,13,15,8,4,6,,
Coffee & Tea,Mocha with Nonfat Milk (Large),20 fl oz cup,39,35,4,6,3,12,,2,6,24,1,73,24,2,1,64,17,2,8,5,8,,
Coffee & Tea,Caramel Mocha (Small),12 fl oz cup,32,1,11,17,7,33,,35,12,17,7,45,15,1,3,4,1,1,8,3,2,,
Coffee & Tea,Caramel Mocha (Medium),16 fl oz cup,39,12,14,21,8,4,1,4,14,22,9,55,18,1,4,5,12,15,8,4,2,,
Coffee & Tea,Caramel Mocha (Large),20 fl oz cup,48,15,17,26,1,49,1,5,17,27,11,66,22,1,5,6,16,15,8,5,4,,
Coffee & Tea,Nonfat Caramel Mocha (Small),12 fl oz cup,25,3,4,5,2,1,,15,5,17,7,45,15,1,3,41,1,1,8,35,2,,
Coffee & Tea,Nonfat Caramel Mocha (Medium),16 fl oz cup,31,3,4,5,2,11,,15,5,21,9,56,19,1,4,51,13,15,8,4,2,,
Coffee & Tea,Nonfat Caramel Mocha (Large),20 fl oz cup,37,35,4,6,3,11,,2,6,27,11,67,22,1,5,61,17,2,8,5,4,,
Coffee & Tea,Hot Chocolate (Small),12 fl oz cup,36,12,13,21,8,39,,4,14,18,8,5,17,1,3,45,11,1,8,4,6,,
Coffee & Tea,Hot Chocolate (Medium),16 fl oz cup,44,14,16,25,9,47,1,5,16,22,9,61,2,1,4,56,14,15,8,45,6,,
Coffee & Tea,Hot Chocolate (Large),20 fl oz cup,54,18,2,31,12,58,1,6,2,28,12,73,24,1,5,68,17,2,8,6,8,,
Coffee & Tea,Hot Chocolate with Nonfat Milk (Small),12 fl oz cup,28,3,4,5,2,11,,15,5,18,7,5,17,1,3,46,12,15,8,4,6,,
Coffee & Tea,Hot Chocolate with Nonfat Milk (Medium),16 fl oz cup,34,3,4,5,2,11,,15,6,22,9,61,2,1,4,57,14,2,8,5,6,,
Coffee & Tea,Hot Chocolate with Nonfat Milk (Large),20 fl oz cup,4,35,4,6,3,12,,2,7,28,12,74,25,1,5,69,19,25,8,6,8,,
Coffee & Tea,Regular Iced Coffee (Small),16 fl oz cup,14,4,5,7,3,15,,15,6,35,1,23,8,2,8,22,1,4,8,4,6,,
Coffee & Tea,Regular Iced Coffee (Medium),22 fl oz cup,19,6,7,11,5,22,,25,9,5,2,31,1,2,8,3,1,4,8,4,6,,
Coffee & Tea,Regular Iced Coffee (Large),32 fl oz cup,27,8,9,14,6,29,,35,12,75,3,47,16,2,8,45,2,6,8,8,6,,
Coffee & Tea,Caramel Iced Coffee (Small),16 fl oz cup,13,4,5,7,3,15,,15,6,35,2,22,7,2,8,21,1,4,8,4,6,,
Coffee & Tea,Caramel Iced Coffee (Medium),22 fl oz cup,18,6,7,11,5,22,,25,9,5,2,29,1,2,8,28,1,4,8,4,6,,
Coffee & Tea,Caramel Iced Coffee (Large),32 fl oz cup,26,8,9,14,6,29,,35,12,65,3,43,14,2,8,42,2,6,8,6,6,,
Coffee & Tea,Hazelnut Iced Coffee (Small),16 fl oz cup,13,4,5,7,3,15,,15,6,35,1,21,7,2,8,2,1,4,8,4,6,,
Coffee & Tea,Hazelnut Iced Coffee (Medium),22 fl oz cup,18,6,7,11,5,22,,25,9,5,2,29,1,2,8,28,1,4,8,4,6,,
Coffee & Tea,Hazelnut Iced Coffee (Large),32 fl oz cup,25,8,9,14,6,29,,35,12,75,3,43,14,2,8,41,2,6,8,8,6,,
Coffee & Tea,French Vanilla Iced Coffee (Small),16 fl oz cup,12,4,5,7,3,15,,15,6,4,2,2,7,2,8,19,1,4,8,4,6,,
Coffee & Tea,French Vanilla Iced Coffee (Medium),22 fl oz cup,17,6,7,11,5,22,,25,9,55,2,27,9,2,8,26,1,4,8,4,6,,
Coffee & Tea,French Vanilla Iced Coffee (Large),32 fl oz cup,24,8,9,14,6,29,,35,12,8,3,41,14,2,8,39,2,6,8,8,6,,
Coffee & Tea,Iced Coffee with Sugar Free French Vanilla Syrup (Small),16 fl oz cup,8,4,5,7,3,15,,15,6,65,3,9,3,2,8,1,1,4,8,4,6,,
Coffee & Tea,Iced Coffee with Sugar Free French Vanilla Syrup (Medium),22 fl oz cup,12,6,7,11,5,22,,25,9,9,4,12,4,2,8,2,1,4,8,4,6,,
Coffee & Tea,Iced Coffee with Sugar Free French Vanilla Syrup (Large),32 fl oz cup,16,8,9,14,6,29,,35,12,135,6,18,6,2,8,2,2,6,8,8,6,,
Coffee & Tea,Iced Mocha (Small),12 fl oz cup,29,1,11,17,7,33,,35,12,125,5,41,14,1,4,34,8,1,8,25,4,,
Coffee & Tea,Iced Mocha (Medium),16 fl oz cup,35,11,13,19,8,38,,4,13,15,6,5,17,1,5,43,9,1,8,3,6,,
Coffee & Tea,Iced Mocha (Large),22 fl oz cup,48,15,16,25,1,49,1,5,17,22,9,7,23,2,8,62,14,15,8,4,8,,
Coffee & Tea,Iced Mocha with Nonfat Milk (Small),12 fl oz cup,24,45,5,8,3,16,,2,7,125,5,41,14,1,4,35,8,1,8,25,4,,
Coffee & Tea,Iced Mocha with Nonfat Milk (Medium),16 fl oz cup,29,45,5,8,4,17,,2,7,15,6,5,17,1,5,43,1,15,8,3,6,,
Coffee & Tea,Iced Mocha with Nonfat Milk (Large),22 fl oz cup,39,5,6,9,4,18,,25,8,22,9,71,24,2,8,62,14,2,8,45,8,,
Coffee & Tea,Iced Caramel Mocha (Small),12 fl oz cup,28,1,11,17,7,33,,35,12,14,6,38,13,2,8,33,8,1,8,25,2,,
Coffee & Tea,Iced Caramel Mocha (Medium),16 fl oz cup,34,11,13,19,7,37,,4,13,17,7,46,15,1,2,41,9,1,8,3,2,,
Coffee & Tea,Iced Caramel Mocha (Large),22 fl oz cup,46,15,16,25,1,48,1,5,17,25,1,65,22,1,3,59,13,15,8,4,4,,
Coffee & Tea,Iced Nonfat Caramel Mocha (Small),12 fl oz cup,23,45,5,8,3,16,,2,7,14,6,38,13,2,8,33,8,1,8,25,2,,
Coffee & Tea,Iced Nonfat Caramel Mocha (Medium),16 fl oz cup,27,45,5,8,3,16,,2,7,17,7,47,16,1,2,41,1,15,8,3,2,,
Coffee & Tea,Iced Nonfat Caramel Mocha (Large),22 fl oz cup,37,5,6,8,4,17,,25,8,25,1,65,22,1,3,59,14,2,8,45,4,,
Coffee & Tea,Frappé Mocha (Small),12 fl oz cup,45,16,18,28,12,59,1,65,21,125,5,65,22,1,3,57,7,15,8,2,4,,
Coffee & Tea,Frappé Mocha (Medium),16 fl oz cup,55,2,22,34,14,71,1,75,25,16,7,8,27,1,4,71,9,15,8,25,4,,
Coffee & Tea,Frappé Mocha (Large),22 fl oz cup,67,24,26,41,17,85,1,9,3,19,8,98,33,1,4,88,11,2,8,35,4,,
Coffee & Tea,Frappé Caramel (Small),12 fl oz cup,45,17,19,29,12,6,1,65,22,125,5,64,21,2,8,57,7,15,8,25,2,,
Coffee & Tea,Frappé Caramel (Medium),16 fl oz cup,55,2,23,35,15,73,1,8,27,16,7,79,26,2,8,71,9,2,8,3,2,,
Coffee & Tea,Frappé Caramel (Large),22 fl oz cup,67,25,27,42,17,87,2,95,32,19,8,96,32,2,8,88,11,2,8,35,2,,
Coffee & Tea,Frappé Chocolate Chip (Small),12 fl oz cup,53,2,23,35,14,72,1,65,22,135,6,76,25,1,5,67,8,15,8,25,4,,
Coffee & Tea,Frappé Chocolate Chip (Medium),16 fl oz cup,63,24,26,41,17,85,1,8,26,16,7,91,3,1,5,81,9,15,8,3,4,,
Coffee & Tea,Frappé Chocolate Chip (Large),22 fl oz cup,76,28,31,48,2,11,2,95,32,2,8,111,37,1,5,99,12,2,8,35,6,,
Smoothies & Shakes,Blueberry Pomegranate Smoothie (Small),12 fl oz cup,22,5,1,1,,,,5,1,4,2,5,17,3,12,44,2,7,2,6,2,,
Smoothies & Shakes,Blueberry Pomegranate Smoothie (Medium),16 fl oz cup,26,5,1,1,,,,5,1,5,2,62,21,4,15,54,3,7,4,8,2,,
Smoothies & Shakes,Blueberry Pomegranate Smoothie (Large),22 fl oz cup,34,1,1,2,1,3,,5,2,65,3,79,26,5,19,7,4,7,4,1,2,,
Smoothies & Shakes,Strawberry Banana Smoothie (Small),12 fl oz cup,21,5,1,1,,,,5,1,5,2,47,16,3,1,44,3,7,3,8,2,,
Smoothies & Shakes,Strawberry Banana Smoothie (Medium),16 fl oz cup,25,5,1,1,,,,5,1,6,2,58,19,3,13,54,4,7,35,8,4,,
Smoothies & Shakes,Strawberry Banana Smoothie (Large),22 fl oz cup,33,1,1,2,1,3,,5,2,8,3,74,25,4,16,7,5,7,45,1,4,,
Smoothies & Shakes,Mango Pineapple Smoothie (Small),12 fl oz cup,21,5,1,1,,,,5,1,4,2,5,17,1,4,46,2,3,2,8,2,,
Smoothies & Shakes,Mango Pineapple Smoothie (Medium),16 fl oz cup,26,1,1,1,,,,5,1,45,2,61,2,1,5,56,3,4,25,8,2,,
Smoothies & Shakes,Mango Pineapple Smoothie (Large),22 fl oz cup,34,1,1,2,1,3,,5,2,6,3,78,26,2,6,72,4,5,3,1,2,,
Smoothies & Shakes,Vanilla Shake (Small),12 fl oz cup,53,14,15,24,1,49,1,6,2,16,7,86,29,2,8,63,11,2,8,4,6,,
Smoothies & Shakes,Vanilla Shake (Medium),16 fl oz cup,66,17,19,29,12,61,1,75,24,2,9,19,36,2,8,81,14,25,8,5,6,,
Smoothies & Shakes,Vanilla Shake (Large),22 fl oz cup,82,21,23,35,15,73,1,9,29,26,11,135,45,2,8,11,18,3,8,6,6,,
Smoothies & Shakes,Strawberry Shake (Small),12 fl oz cup,55,15,16,25,1,52,1,6,21,16,7,9,3,2,8,79,12,2,8,4,6,,
Smoothies & Shakes,Strawberry Shake (Medium),16 fl oz cup,69,18,2,3,13,63,1,75,25,21,9,114,38,2,8,1,15,25,8,5,6,,
Smoothies & Shakes,Strawberry Shake (Large),22 fl oz cup,85,21,24,36,15,75,1,9,3,26,11,14,47,2,8,123,18,3,8,7,6,,
Smoothies & Shakes,Chocolate Shake (Small),12 fl oz cup,56,15,16,25,1,51,1,6,2,24,1,91,3,1,5,77,12,2,8,4,8,,
Smoothies & Shakes,Chocolate Shake (Medium),16 fl oz cup,7,18,2,3,12,62,1,75,24,3,13,114,38,2,6,97,15,25,8,5,1,,
Smoothies & Shakes,Chocolate Shake (Large),22 fl oz cup,85,21,23,36,15,74,1,85,29,38,16,141,47,2,8,12,19,3,8,6,15,,
Smoothies & Shakes,Shamrock Shake (Medium),16 fl oz cup,66,17,19,29,12,61,1,75,24,21,9,19,36,2,8,93,14,25,8,5,6,,
Smoothies & Shakes,Shamrock Shake (Large),22 fl oz cup,82,21,23,35,15,73,1,9,29,26,11,135,45,2,8,115,18,3,8,6,6,,
Smoothies & Shakes,McFlurry with M&M’s Candies (Small),10.9 oz (310 g),65,21,23,35,14,72,1,5,17,18,7,96,32,1,6,89,13,15,8,45,8,,
Smoothies & Shakes,McFlurry with M&M’s Candies (Medium),16.2 oz (460 g),93,29,33,5,2,12,1,75,25,26,11,139,46,2,7,128,2,25,8,7,1,,
Smoothies & Shakes,McFlurry with M&M’s Candies (Snack),7.3 oz (207 g),43,14,15,24,1,48,,35,11,12,5,64,21,1,4,59,9,1,8,3,4,,
Smoothies & Shakes,McFlurry with Oreo Cookies (Small),10.1 oz (285 g),51,15,17,26,9,44,1,45,14,28,12,8,27,1,4,64,12,15,8,4,8,,
Smoothies & Shakes,McFlurry with Oreo Cookies (Medium),13.4 oz (381 g),69,2,23,35,12,58,1,55,19,38,16,16,35,1,5,85,15,2,8,5,1,,
Smoothies & Shakes,McFlurry with Oreo Cookies (Snack),6.7 oz (190 g),34,1,11,17,6,29,,3,9,19,8,53,18,1,2,43,8,1,8,25,6,,
Smoothies & Shakes,McFlurry with Reese's Peanut Butter Cups (Medium),14.2 oz (403 g),81,29,32,5,15,76,1,6,2,4,17,114,38,2,9,13,21,2,8,6,6,,
Smoothies & Shakes,McFlurry with Reese's Peanut Butter Cups (Snack),7.1 oz (202 g),41,15,16,25,8,38,,3,1,2,8,57,19,1,5,51,1,1,8,3,4,,
